route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,ext_route_type
72,VTA,72,Downtown San Jose - Senter & Monterey via McLaughlin,,3,https://www.vta.org/go/routes/72,e4002b,FFFFFF,72,702
73,VTA,73,Downtown San Jose - Senter & Monterey via Senter,,3,https://www.vta.org/go/routes/73,e4002b,FFFFFF,73,702
77,VTA,77,Milpitas BART - Eastridge via King,,3,https://www.vta.org/go/routes/77,e4002b,FFFFFF,77,702
83,VTA,83,Almaden & McKean - Ohlone-Chynoweth Station,,3,https://www.vta.org/go/routes/83,29588c,FFFFFF,83,704
84,VTA,84,Gilroy Transit Center - Saint Louise Hospital via Gilroy Outlets,,3,https://www.vta.org/go/routes/84,29588c,FFFFFF,84,704
85,VTA,85,Gilroy Transit Center - Saint Louise Hospital via west Gilroy,,3,https://www.vta.org/go/routes/85,29588c,FFFFFF,85,704
86,VTA,86,Gavilan College - Gilroy Transit Center,,3,https://www.vta.org/go/routes/86,29588c,FFFFFF,86,704
87,VTA,87,Morgan Hill Civic Center - Burnett Avenue,,3,https://www.vta.org/go/routes/87,29588c,FFFFFF,87,704
89,VTA,89,"California Avenue Caltrain - Palo Alto VA Hospital ",,3,https://www.vta.org/go/routes/89,29588c,FFFFFF,89,704
101,VTA,Express 101,Camden & Highway 85 - Stanford Research Park,,3,https://www.vta.org/go/routes/101,00b140,000000,101,701
102,VTA,Express 102,South San Jose - Stanford Research Park,,3,https://www.vta.org/go/routes/102,00b140,000000,102,701
103,VTA,Express 103,Eastridge - Stanford Research Park,,3,https://www.vta.org/go/routes/103,00b140,000000,103,701
104,VTA,Express 104,Milpitas BART - Stanford Research Park,,3,https://www.vta.org/go/routes/104,00b140,000000,104,701
121,VTA,Express 121,Gilroy/Morgan Hill - Lockheed Martin,,3,https://www.vta.org/go/routes/121,00b140,000000,121,701
168,VTA,Express 168,Gilroy/Morgan Hill - San Jose Diridon,,3,https://www.vta.org/go/routes/168,00b140,000000,168,701
822,VTA,ACE Gray,Great America ACE Station -  South Sunnyvale,,3,,939598,FFFFFF,822,711
823,VTA,ACE Green,Great America ACE Station -  North Santa Clara,,3,,0e9972,FFFFFF,823,711
824,VTA,ACE Orange,Great America ACE Station -  Mountain View,,3,,f69238,FFFFFF,824,711
825,VTA,ACE Purple,Great America ACE Station -  West Milpitas,,3,,263996,FFFFFF,825,711
826,VTA,ACE Red,Great America ACE Station -  North Sunnyvale,,3,,d60e51,FFFFFF,826,711
827,VTA,ACE Yellow,Great America ACE Station -  South Santa Clara,,3,,ffe601,000000,827,711
828,VTA,ACE Brown,Great America ACE Station -  South Sunnyvale,,3,,6d4739,FFFFFF,828,711
831,VTA,ACE Violet,Great America ACE Station -  VTA Light Rail,,3,,bbb7da,000000,831,711
